2004,45522,5.4,7850183,38289,3135000,80.7,6.34,8.3,6650740
2005,43321.4,5.2,8577862,39651,3193000,80.9,6.96,8.35,6693210
2006,42035.7,5.2,9132810,39573,3246000,81,3.277,8.41,6742690
2007,43098.3,4.9,9679643,40705,3314000,81.4,6.34,8.53,6834160
2008,42427.8,4.8,10208851,41965,3399000,81.5,6.34,8.66,6943460
2009,44140,6.2,10644000,43664,3399000,81.8,3.443,8.8,7053760
2010,40558.8,5.4,11554000,43949,3456000,81.8,6.83,8.92,7144290
2011,42656,5.3,12906000,45925,3511000,82,6.77,9.01,7218530
2012,46045.9,5.2,13454000,46914,3542000,82,7.08,9.11,7304240
2013,44298.5,5.7,15898615.5,46310,3594000,82.1,7.19,9.24,7404030
2014,47553.4,5.9,18343231,47941,3618000,82.3,6.84,9.37,7508350
2015,50575,5.9,19132442,48813,3715000,82.4,6.91,9.5,7616170
2016,50997.9,5.3,19789983,48904,3811000,82.4,7.03,9.65,7732860
2017,53864.1,5,21147565.5,48728,3875000,82.4,6.74,9.82,7867940
2004,41682.1,5.6,5773825,35244,2380000,80.9,6.81,21.65,4927150
2005,37471.5,5.4,6224225,35995,2454000,81.3,7.29,21.92,4989250
2006,36200,5.1,6716122,36209,2509000,81.5,4.142,22.24,5061270
2007,38136.4,4.8,7319412,37191,2594000,81.6,6.81,22.64,5153520
2008,33470.7,4.5,7912293,38885,2652000,81.7,6.81,23.1,5256380
2009,36585.6,5.8,8520000,40350,2678000,81.8,4.886,23.6,5371930
2010,32409.4,5.5,9225000,40157,2758000,82.1,7.39,24,5461100
2011,33124.2,5.2,9746000,41303,2815000,82.3,7.19,24.33,5537820
2012,35500.1,5.6,10093000,41053,2842000,82.5,7.35,24.83,5651090
2013,35215.7,6.1,11387410,40961,2875000,82.7,7.46,25.36,5772670
2014,39972,6.8,12681820,42240,2905000,82.8,7.62,25.9,5894920
2015,42704,6.3,13628775,41455,2994000,82.9,7.54,26.46,6022320
2016,38252.7,6,14699154,40527,3096000,82.9,7.33,27.12,6173170
2017,36738.1,6.1,15802009.5,40702,3206000,83.1,7.29,27.78,6321610
2004,34314.1,5.5,3273607,33850,1854000,80.4,5.25,2.21,3829970
2005,38500.9,4.8,3827065,35799,1957000,80.8,6.08,2.26,3918490
2006,39076.8,4.6,4438913,37102,2026000,80.9,2.654,2.31,4007990
2007,39390,3.8,5144211,39620,2117000,81.2,5.25,2.37,4111020
2008,46075.3,3.7,5754650,41224,2179000,81.2,5.25,2.43,4219510
2009,38750.4,5.5,6457000,43849,2207000,81.4,2.614,2.5,4328770
2010,37312.9,5.6,7262000,43506,2239000,81.6,5.69,2.54,4404740
2011,38549.7,5.6,7706000,44464,2270000,81.7,5.88,2.58,4476780
2012,38710.4,5.9,7656000,44508,2285000,81.7,6.24,2.63,4568690
2013,38208,6,8261112,42696,2302000,81.8,5.92,2.68,4652820
2014,44276.5,6.6,8866224,42675,2322000,82,5.88,2.72,4719650
2015,48758,6.4,12154556,43519,2343000,82.1,5.72,2.75,4777690
2016,52134,6.3,12990906,43731,2358000,82.2,5.84,2.79,4845150
2017,57655,6.2,13974931,43371,2417000,82.2,5.66,2.84,4927630
2004,14198.9,5.9,2028819,34719,717000,80.6,5.71,1.55,1528190
2005,13030.8,5.2,2192235,35013,738000,80.8,6.46,1.56,1538800
2006,13294.8,5,2584816,34907,752000,81.1,3.096,1.58,1552530
2007,13070.5,5.1,2903256,36489,762000,81.3,5.71,1.59,1570620
