,0,1,2,3,4,5,6,7,8
0,"﻿""DATE",ACT,NSW,NT,QLD,SA,TAS,VIC,WA
16,2/6/20,0,4,0,4,2,0,4,0
17,2/7/20,0,4,0,5,2,0,4,0
18,2/8/20,0,4,0,5,2,0,4,0
19,2/9/20,0,4,0,5,2,0,4,0
20,2/10/20,0,4,0,5,2,0,4,0
21,2/11/20,0,4,0,5,2,0,4,0
22,2/12/20,0,4,0,5,2,0,4,0
23,2/13/20,0,4,0,5,2,0,4,0
24,2/14/20,0,4,0,5,2,0,4,0
25,2/15/20,0,4,0,5,2,0,4,0
26,2/16/20,0,4,0,5,2,0,4,0
27,2/17/20,0,4,0,5,2,0,4,0
28,2/18/20,0,4,0,5,2,0,4,0
29,2/19/20,0,4,0,5,2,0,4,0
30,2/20/20,0,4,0,5,2,0,4,0
31,2/21/20,0,4,0,5,2,0,4,0
32,2/22/20,0,4,0,5,2,0,4,0
33,2/23/20,0,4,0,5,2,0,4,0
34,2/24/20,0,4,0,5,2,0,4,0
35,2/25/20,0,4,0,5,2,0,4,0
36,2/26/20,0,4,0,5,2,0,4,0
37,2/27/20,0,4,0,5,2,0,4,0
38,2/28/20,0,4,0,5,2,0,4,0
39,2/29/20,0,4,0,9,3,0,7,2
40,3/1/20,0,6,0,9,3,0,7,2
41,3/2/20,0,6,0,9,3,1,9,2
42,3/3/20,0,13,0,11,3,1,9,2
43,3/4/20,0,22,1,11,5,1,10,2
44,3/5/20,0,22,1,13,5,1,10,3
45,3/6/20,0,26,0,13,7,1,10,3
46,3/7/20,0,28,0,13,7,1,11,3
47,3/8/20,0,38,0,15,7,2,11,3
48,3/9/20,0,48,0,15,7,2,15,4
49,3/10/20,0,55,1,18,7,2,18,6
50,3/11/20,0,65,1,20,9,3,21,9
51,3/12/20,0,65,1,20,9,3,21,9
52,3/13/20,1,92,1,35,16,5,36,14
53,3/14/20,1,112,1,46,19,5,49,17
54,3/15/20,1,134,1,61,20,6,57,17
55,3/16/20,2,171,1,68,29,7,71,28
56,3/17/20,2,210,1,78,29,7,94,31
57,3/18/20,3,267,1,94,37,10,121,35
58,3/19/20,4,307,1,144,42,10,121,52
59,3/20/20,6,353,3,184,50,10,121,64
60,3/21/20,9,436,3,221,67,16,229,90
61,3/22/20,19,669,5,259,100,22,355,120
62,3/23/20,32,669,5,319,134,28,355,140
63,3/24/20,39,818,6,397,170,28,411,175
64,3/25/20,39,1029,6,443,170,36,466,175
65,3/26/20,53,1219,12,493,235,47,520,231
66,3/27/20,62,1405,12,555,257,47,574,231
67,3/28/20,71,1617,15,625,287,62,685,278
68,3/29/20,77,1791,15,656,299,66,769,311
69,3/30/20,78,2032,15,689,305,66,821,355
70,3/31/20,80,2032,17,743,337,69,917,364
71,4/1/20,84,2182,19,781,367,69,968,392
72,4/2/20,87,2298,21,835,367,72,1036,400
73,4/3/20,91,2389,22,873,396,74,1085,400
74,4/4/20,93,2493,26,900,407,80,1115,436
75,4/5/20,96,2580,27,907,407,82,1135,453
76,4/6/20,96,2637,28,921,411,86,1158,460
77,4/7/20,96,2686,28,934,411,89,1191,460
78,4/8/20,99,2734,28,943,415,98,1212,481
79,4/9/20,100,2773,28,953,420,111,1228,495
80,4/10/20,103,2822,28,965,428,122,1241,506
81,4/11/20,103,2857,28,974,429,133,1265,514
82,4/12/20,103,2857,28,983,429,133,1268,514
83,4/13/20,102,2863,28,987,429,144,1281,517
84,4/14/20,103,2870,28,998,433,165,1291,527
85,4/15/20,103,2886,28,999,433,165,1299,527
86,4/16/20,103,2897,28,1001,433,169,1299,532
87,4/17/20,103,2926,28,1007,435,180,1302,541
88,4/18/20,103,2936,28,1015,435,188,1319,544
89,4/19/20,103,2957,28,1019,435,195,1328,545
90,4/20/20,104,2963,28,1019,435,200,1329,545
91,4/21/20,104,2969,28,1024,437,201,1336,546
92,4/22/20,104,2971,28,1024,438,205,1336,546
93,4/23/20,104,2976,28,1026,438,207,1337,546
94,4/24/20,105,2982,28,1026,438,207,1343,548
95,4/25/20,106,2994,28,1026,438,207,1346,549
96,4/26/20,106,3002,28,1030,438,212,1349,549
97,4/27/20,106,3004,28,1033,438,214,1349,549
98,4/28/20,106,3016,28,1034,438,218,1354,550
99,4/29/20,106,3016,28,1033,438,219,1361,551
100,4/30/20,106,3025,28,1033,438,221,1364,551
101,5/1/20,106,3030,27,1034,438,221,1371,551
102,5/2/20,106,3035,29,1035,438,221,1384,551
103,5/3/20,106,3033,29,1038,438,221,1406,551
104,5/4/20,107,3035,29,1043,438,221,1423,551
105,5/5/20,107,3042,29,1043,438,225,1440,551
106,5/6/20,107,3044,29,1045,438,226,1454,551
107,5/7/20,107,3047,29,1045,439,227,1467,552
108,5/8/20,107,3051,29,1045,439,227,1468,552
109,5/9/20,107,3053,29,1045,439,227,1487,552
110,5/10/20,107,3053,29,1045,439,227,1496,552
111,5/11/20,107,3053,29,1051,439,227,1511,553
112,5/12/20,107,3059,29,1052,439,227,1514,553
113,5/13/20,107,3063,29,1051,439,227,1521,552
114,5/14/20,107,3071,29,1054,439,227,1540,552
115,5/15/20,107,3074,29,1055,439,228,1551,552
116,5/16/20,107,3075,29,1055,439,228,1558,553
117,5/17/20,107,3076,29,1057,439,228,1564,554
118,5/18/20,107,3078,29,1057,439,228,1573,557
119,5/19/20,107,3081,29,1058,439,228,1573,557
120,5/20/20,107,3082,29,1058,439,228,1581,557
121,5/21/20,107,3084,29,1058,439,228,1593,557
122,5/22/20,107,3086,29,1060,439,228,1593,557
123,5/23/20,107,3087,29,1061,439,228,1603,560
124,5/24/20,107,3090,29,1056,439,228,1605,560
